河南电信-组播1,#genre#
百姓调解,http://1.192.242.239:8188/rtp/239.16.10.183:2000$1080p
百姓调解,http://1.192.242.239:8188/rtp/239.16.20.197:11970
祥符综合,http://1.192.242.239:8188/rtp/239.16.10.196:2000$1080p
禹州综合,http://1.192.242.239:8188/rtp/239.16.10.39:2000$1080p
舞钢综合,http://1.192.242.239:8188/rtp/239.16.20.227:12270
舞阳综合,http://1.192.242.239:8188/rtp/239.16.10.179:2000$576p
荥阳综合,http://1.192.242.239:8188/rtp/239.16.10.34:2000$576p
荥阳综合,http://1.192.242.239:8188/rtp/239.16.20.44:10440
获嘉综合,http://1.192.242.239:8188/rtp/239.16.20.25:10250
西华综合,http://1.192.242.239:8188/rtp/239.16.10.203:2000$1080p
许昌综合,http://1.192.242.239:8188/rtp/239.16.10.47:2000$1080p
许昌农业科教,http://1.192.242.239:8188/rtp/239.16.10.60:2000$1080p
通许综合,http://1.192.242.239:8188/rtp/239.16.10.209:2000$1080p
通许综合,http://1.192.242.239:8188/rtp/239.16.20.198:11980
邓州综合,http://1.192.242.239:8188/rtp/239.16.10.220:2000$1080p
邓州综合,http://1.192.242.239:8188/rtp/239.16.20.20:10200
郏县综合,http://1.192.242.239:8188/rtp/239.16.20.235:12350
郑州新闻综合,http://1.192.242.239:8188/rtp/239.16.10.154:2000$1080p
郑州商都,http://1.192.242.239:8188/rtp/239.16.10.155:2000$1080p
郑州妇女儿童,http://1.192.242.239:8188/rtp/239.16.10.158:2000$1080p
郑州豫剧,http://1.192.242.239:8188/rtp/239.16.10.157:2000$1080p
郑州文体旅游,http://1.192.242.239:8188/rtp/239.16.10.156:2000$1080p
郑州都市生活,http://1.192.242.239:8188/rtp/239.16.10.159:2000$1080p
郸城综合,http://1.192.242.239:8188/rtp/239.16.10.84:2000$576p
镇平新闻综合,http://1.192.242.239:8188/rtp/239.16.10.46:2000$1080p
镇平新闻综合,http://1.192.242.239:8188/rtp/239.16.20.50:10500
新县综合,http://1.192.242.239:8188/rtp/239.16.10.166:2000$576p
项城综合,http://1.192.242.239:8188/rtp/239.16.10.214:2000$1080p
驻马店新闻综合,http://1.192.242.239:8188/rtp/239.16.10.170:2000$1080p
驻马店公共,http://1.192.242.239:8188/rtp/239.16.10.54:2000$1080p
驻马店科教,http://1.192.242.239:8188/rtp/239.16.10.171:2000$1080p
鹤壁新闻综合,http://1.192.242.239:8188/rtp/239.16.20.142:11420
鲁山综合,http://1.192.242.239:8188/rtp/239.16.20.158:11580
通许县综合,http://1.192.242.239:8188/rtp/239.16.20.214:12140
东方财经,http://1.192.242.239:8188/rtp/239.16.10.235:2000$1080p
东方财经,http://1.192.242.239:8188/rtp/239.16.20.64:10640
乐游,http://1.192.242.239:8188/rtp/239.16.10.240:2000$1080p
乐游,http://1.192.242.239:8188/rtp/239.16.20.111:11110
书画,http://1.192.242.239:8188/rtp/239.16.10.248:2000$576p
书画,http://1.192.242.239:8188/rtp/239.16.20.130:11300
优优宝贝,http://1.192.242.239:8188/rtp/239.16.10.246:2000$576p
优漫卡通,http://1.192.242.239:8188/rtp/239.16.10.44:2000$576p
优漫卡通,http://1.192.242.239:8188/rtp/239.16.20.103:11030
动漫秀场,http://1.192.242.239:8188/rtp/239.16.10.234:2000$1080p
动漫秀场,http://1.192.242.239:8188/rtp/239.16.20.40:10400
嘉佳卡通,http://1.192.242.239:8188/rtp/239.16.10.118:2000$576p
嘉佳卡通,http://1.192.242.239:8188/rtp/239.16.20.107:11070
四海钓鱼,http://1.192.242.239:8188/rtp/239.16.10.239:2000$1080p
国学频道,http://1.192.242.239:8188/rtp/239.16.10.217:2000$1080p
国学频道,http://1.192.242.239:8188/rtp/239.16.20.232:12320
河南导视,http://1.192.242.239:8188/rtp/239.16.20.17:10170
河南导视,http://1.192.242.239:8188/rtp/239.16.20.243:12430
优优宝贝,http://1.192.242.239:8188/rtp/239.16.20.126:11260
四海钓鱼,http://1.192.242.239:8188/rtp/239.16.20.70:10700
快乐垂钓,http://1.192.242.239:8188/rtp/239.16.10.236:2000$1080p
快乐垂钓,http://1.192.242.239:8188/rtp/239.16.20.67:10670
多彩文体,http://1.192.242.239:8188/rtp/239.16.10.233:2000$1080p
多彩文体,http://1.192.242.239:8188/rtp/239.16.20.39:10390
法治天地,http://1.192.242.239:8188/rtp/239.16.10.254:2000$1080p
法治天地,http://1.192.242.239:8188/rtp/239.16.20.156:11560
环球旅游,http://1.192.242.239:8188/rtp/239.16.10.249:2000$1080p
环球旅游,http://1.192.242.239:8188/rtp/239.16.20.131:11310
生活时尚,http://1.192.242.239:8188/rtp/239.16.10.243:2000$1080p
生活时尚,http://1.192.242.239:8188/rtp/239.16.20.114:11140
聚鲨环球精选,http://1.192.242.239:8188/rtp/239.16.10.206:2000$576p
聚鲨环球精选,http://1.192.242.239:8188/rtp/239.16.20.201:12010
中国天气,http://1.192.242.239:8188/rtp/239.16.10.237:2000$1080p
中国天气,http://1.192.242.239:8188/rtp/239.16.20.68:10680
财富天下,http://1.192.242.239:8188/rtp/239.16.10.247:2000$1080p
财富天下,http://1.192.242.239:8188/rtp/239.16.20.129:11290
都市剧场,http://1.192.242.239:8188/rtp/239.16.10.232:2000$1080p
都市剧场,http://1.192.242.239:8188/rtp/239.16.20.38:10380
金色学堂,http://1.192.242.239:8188/rtp/239.16.10.244:2000$1080p
金色学堂,http://1.192.242.239:8188/rtp/239.16.20.115:11150
金鹰卡通,http://1.192.242.239:8188/rtp/239.16.10.115:2000$1080p
金鹰卡通,http://1.192.242.239:8188/rtp/239.16.20.104:11040
金鹰纪实,http://1.192.242.239:8188/rtp/239.16.10.253:2000$1080p
金鹰纪实,http://1.192.242.239:8188/rtp/239.16.20.153:11530
游戏风云,http://1.192.242.239:8188/rtp/239.16.10.241:2000$1080p
游戏风云,http://1.192.242.239:8188/rtp/239.16.20.112:11120
河南电信-组播2,#genre#
河南电信-组播3,#genre#
