陕西电信-组播1,#genre#
陕西西部电影,http://1.83.123.170:8888/rtp/239.111.205.102:5140
陕西西部电影,http://1.83.123.170:8888/rtp/239.111.205.41:5140
陕西都市青春,http://1.83.123.170:8888/rtp/239.109.205.3:9128
陕西都市青春,http://1.83.123.170:8888/rtp/239.110.205.84:7940
陕西都市青春,http://1.83.123.170:8888/rtp/239.111.205.42:5140
陕西都市青春,http://1.83.123.170:8888/rtp/239.112.205.19:5140
陕西银龄,http://1.83.123.170:8888/rtp/239.109.205.4:9136
陕西银龄,http://1.83.123.170:8888/rtp/239.111.205.98:5140
陕西银龄,http://1.83.123.170:8888/rtp/239.112.205.20:5140
陕西新闻资讯,http://1.83.123.170:8888/rtp/239.109.205.2:9120
陕西新闻资讯,http://1.83.123.170:8888/rtp/239.110.205.83:7944
陕西新闻资讯,http://1.83.123.170:8888/rtp/239.111.205.28:5140
陕西新闻资讯,http://1.83.123.170:8888/rtp/239.112.205.18:5140
陕西体育休闲,http://1.83.123.170:8888/rtp/239.109.205.8:9168
陕西体育休闲,http://1.83.123.170:8888/rtp/239.110.205.85:7936
陕西体育休闲,http://1.83.123.170:8888/rtp/239.111.205.36:5140
陕西体育休闲,http://1.83.123.170:8888/rtp/239.112.205.24:5140
西安新闻综合,http://1.83.123.170:8888/rtp/239.109.205.130:8976
西安新闻综合,http://1.83.123.170:8888/rtp/239.110.205.31:9788
西安新闻综合,http://1.83.123.170:8888/rtp/239.111.205.242:5140
西安新闻综合,http://1.83.123.170:8888/rtp/239.111.205.27:5140
西安都市,http://1.83.123.170:8888/rtp/239.109.205.131:8984
西安都市,http://1.83.123.170:8888/rtp/239.111.205.243:5140
西安丝路,http://1.83.123.170:8888/rtp/239.110.205.40:9866
西安丝路,http://1.83.123.170:8888/rtp/239.112.205.176:5140
西安戏剧影视,http://1.83.123.170:8888/rtp/239.110.205.39:9862
西安戏剧影视,http://1.83.123.170:8888/rtp/239.112.205.175:5140
西安教育,http://1.83.123.170:8888/rtp/239.110.205.24:9842
西安教育,http://1.83.123.170:8888/rtp/239.112.205.142:5140
咸阳综合,http://1.83.123.170:8888/rtp/239.112.205.141:5140
咸阳兴平,http://1.83.123.170:8888/rtp/239.112.205.168:5140
咸阳彬州,http://1.83.123.170:8888/rtp/239.112.205.181:5140
咸阳彬州,http://1.83.123.170:8888/rtp/239.110.205.49:9922
咸阳淳化,http://1.83.123.170:8888/rtp/239.111.205.97:5140
咸阳泾阳,http://1.83.123.170:8888/rtp/239.111.205.12:5140
咸阳杨凌,http://1.83.123.170:8888/rtp/239.111.205.253:5140
商洛综合,http://1.83.123.170:8888/rtp/239.109.205.66:8464
商洛综合,http://1.83.123.170:8888/rtp/239.109.205.69:8488
商洛综合,http://1.83.123.170:8888/rtp/239.112.205.189:5140
安康综合,http://1.83.123.170:8888/rtp/239.112.205.216:5140
安康岚皋,http://1.83.123.170:8888/rtp/239.111.205.248:5140
安康石泉,http://1.83.123.170:8888/rtp/239.110.205.41:9874
安康石泉,http://1.83.123.170:8888/rtp/239.111.205.57:5140
安康紫阳,http://1.83.123.170:8888/rtp/239.109.205.74:8528
安康紫阳,http://1.83.123.170:8888/rtp/239.112.205.220:5140
安康旬阳,http://1.83.123.170:8888/rtp/239.110.205.52:9934
安康旬阳,http://1.83.123.170:8888/rtp/239.111.205.56:5140
宝鸡综合,http://1.83.123.170:8888/rtp/239.112.205.143:5140
宝鸡综合,http://1.83.123.170:8888/rtp/239.112.205.147:5140
宝鸡千阳,http://1.83.123.170:8888/rtp/239.111.205.250:5140
宝鸡太白,http://1.83.123.170:8888/rtp/239.111.205.251:5140
宝鸡岐山,http://1.83.123.170:8888/rtp/239.111.205.90:5140
宝鸡扶风,http://1.83.123.170:8888/rtp/239.111.205.80:5140
宝鸡眉县,http://1.83.123.170:8888/rtp/239.111.205.81:5140
宝鸡陇县,http://1.83.123.170:8888/rtp/239.111.205.252:5140
宝鸡麟游,http://1.83.123.170:8888/rtp/239.111.205.31:5140
宝鸡凤县,http://1.83.123.170:8888/rtp/239.111.205.244:5140
宝鸡陈仓,http://1.83.123.170:8888/rtp/239.111.205.245:5140
延安综合,http://1.83.123.170:8888/rtp/239.112.205.169:5140
渭南新闻综合,http://1.83.123.170:8888/rtp/239.110.205.37:9854
渭南新闻综合,http://1.83.123.170:8888/rtp/239.111.205.19:5140
渭南新闻综合,http://1.83.123.170:8888/rtp/239.111.205.94:5140
渭南华州,http://1.83.123.170:8888/rtp/239.109.205.93:8680
渭南华州,http://1.83.123.170:8888/rtp/239.112.205.192:5140
渭南华阴,http://1.83.123.170:8888/rtp/239.109.205.63:8440
渭南华阴,http://1.83.123.170:8888/rtp/239.112.205.193:5140
渭南合阳,http://1.83.123.170:8888/rtp/239.109.205.92:8672
渭南合阳,http://1.83.123.170:8888/rtp/239.112.205.190:5140
渭南富平,http://1.83.123.170:8888/rtp/239.109.205.71:8504
渭南富平,http://1.83.123.170:8888/rtp/239.112.205.188:5140
渭南澄城,http://1.83.123.170:8888/rtp/239.109.205.76:8544
渭南澄城,http://1.83.123.170:8888/rtp/239.112.205.191:5140
渭南白水,http://1.83.123.170:8888/rtp/239.109.205.87:8632
渭南白水,http://1.83.123.170:8888/rtp/239.112.205.219:5140
渭南蒲城,http://1.83.123.170:8888/rtp/239.112.205.194:5140
渭南韩城,http://1.83.123.170:8888/rtp/239.109.205.72:8512
渭南韩城,http://1.83.123.170:8888/rtp/239.112.205.166:5140
渭南大荔,http://1.83.123.170:8888/rtp/239.111.205.91:5140
榆林综合,http://1.83.123.170:8888/rtp/239.110.205.42:9882
榆林综合,http://1.83.123.170:8888/rtp/239.112.205.177:5140
汉中综合,http://1.83.123.170:8888/rtp/239.112.205.215:5140
汉中佛坪,http://1.83.123.170:8888/rtp/239.112.205.229:5140
汉中勉县,http://1.83.123.170:8888/rtp/239.110.205.53:9938
汉中勉县,http://1.83.123.170:8888/rtp/239.112.205.239:5140
汉中南郑,http://1.83.123.170:8888/rtp/239.110.205.82:7948
汉中城固,http://1.83.123.170:8888/rtp/239.111.205.79:5140
汉中宁强,http://1.83.123.170:8888/rtp/239.111.205.18:5140
汉中洋县,http://1.83.123.170:8888/rtp/239.111.205.77:5140
汉中留坝,http://1.83.123.170:8888/rtp/239.110.205.54:9942
汉中留坝,http://1.83.123.170:8888/rtp/239.112.205.240:5140
汉中略阳,http://1.83.123.170:8888/rtp/239.110.205.50:9926
汉中略阳,http://1.83.123.170:8888/rtp/239.112.205.235:5140
汉中西乡,http://1.83.123.170:8888/rtp/239.111.205.17:5140
汉中镇巴,http://1.83.123.170:8888/rtp/239.112.205.231:5140
汉中南郑,http://1.83.123.170:8888/rtp/239.111.205.8:5140
铜川综合,http://1.83.123.170:8888/rtp/239.109.205.194:9638
铜川综合,http://1.83.123.170:8888/rtp/239.111.205.29:5140
IPTV高网,http://1.83.123.170:8888/rtp/239.110.205.16:9810
IPTV3,http://1.83.123.170:8888/rtp/239.109.205.197:9650
IPTV3＋,http://1.83.123.170:8888/rtp/239.112.205.116:5140
IPTV5,http://1.83.123.170:8888/rtp/239.109.205.211:9184
IPTV6,http://1.83.123.170:8888/rtp/239.109.205.198:9654
IPTV6＋,http://1.83.123.170:8888/rtp/239.112.205.118:5140
IPTV8,http://1.83.123.170:8888/rtp/239.109.205.199:9658
IPTV8＋,http://1.83.123.170:8888/rtp/239.112.205.119:5140
IPTV相声小品,http://1.83.123.170:8888/rtp/239.109.205.212:9192
IPTV爱生活,http://1.83.123.170:8888/rtp/239.110.205.55:9946
IPTV爱生活,http://1.83.123.170:8888/rtp/239.112.205.234:5140
中国交通,http://1.83.123.170:8888/rtp/239.111.205.54:5140
乐游,http://1.83.123.170:8888/rtp/239.109.205.56:8384
乐游,http://1.83.123.170:8888/rtp/239.111.205.177:5140
优漫卡通,http://1.83.123.170:8888/rtp/239.110.205.17:9814
优漫卡通,http://1.83.123.170:8888/rtp/239.112.205.185:5140
嘉佳卡通,http://1.83.123.170:8888/rtp/239.109.205.150:9078
嘉佳卡通,http://1.83.123.170:8888/rtp/239.112.205.135:5140
山东教育,http://1.83.123.170:8888/rtp/239.109.205.91:8664
山东教育,http://1.83.123.170:8888/rtp/239.112.205.197:5140
新动漫,http://1.83.123.170:8888/rtp/239.110.205.87:7928
欢笑剧场,http://1.83.123.170:8888/rtp/239.109.205.51:8344
欢笑剧场,http://1.83.123.170:8888/rtp/239.112.205.236:5140
法治天地,http://1.83.123.170:8888/rtp/239.109.205.57:8392
法治天地,http://1.83.123.170:8888/rtp/239.111.205.178:5140
游戏风云,http://1.83.123.170:8888/rtp/239.109.205.62:8432
游戏风云,http://1.83.123.170:8888/rtp/239.111.205.183:5140
环球奇观,http://1.83.123.170:8888/rtp/239.110.205.86:7932
生活时尚,http://1.83.123.170:8888/rtp/239.109.205.55:8376
生活时尚,http://1.83.123.170:8888/rtp/239.111.205.176:5140
电影,http://1.83.123.170:8888/rtp/239.112.205.90:5140
财富天下,http://1.83.123.170:8888/rtp/239.109.205.94:8688
财富天下,http://1.83.123.170:8888/rtp/239.112.205.196:5140
足球,http://1.83.123.170:8888/rtp/239.110.205.25:9846
