湖南电信-组播1,#genre#
湖南电视剧,http://113.221.59.169:4000/rtp/239.76.253.108:9000$1080p
湖南经视,http://113.221.59.169:4000/rtp/239.76.245.116:1234$1080p
湖南经视,http://113.221.59.169:4000/rtp/239.76.246.103:1234$1080p
湖南经视,http://113.221.59.169:4000/rtp/239.76.252.116:9000$1080p
湖南经视,http://113.221.59.169:4000/rtp/239.76.252.3:9000$576p
湖南经视,http://113.221.59.169:4000/rtp/239.76.253.103:9000$1080p
湖南都市,http://113.221.59.169:4000/rtp/239.76.245.117:1234$1080p
湖南都市,http://113.221.59.169:4000/rtp/239.76.246.104:1234$1080p
湖南都市,http://113.221.59.169:4000/rtp/239.76.252.117:9000$1080p
湖南都市,http://113.221.59.169:4000/rtp/239.76.252.4:9000$576p
湖南都市,http://113.221.59.169:4000/rtp/239.76.253.104:9000$1080p
湖南IPTV电信新电视,http://113.221.59.169:4000/rtp/239.76.245.152:1234$1080p
湖南IPTV电信新电视,http://113.221.59.169:4000/rtp/239.76.245.153:1234$1080p
湖南IPTV电信新电视,http://113.221.59.169:4000/rtp/239.76.245.154:1234$1080p
湖南九画面,http://113.221.59.169:4000/rtp/239.76.245.131:1234$1080p
湖南九画面,http://113.221.59.169:4000/rtp/239.76.252.131:9000$1080p
临武综合,http://113.221.59.169:4000/rtp/239.76.246.66:1234$1080p
临武综合,http://113.221.59.169:4000/rtp/239.76.253.69:9000$1080p
常德新闻综合,http://113.221.59.169:4000/rtp/239.76.248.10:1234
张家界新闻综合,http://113.221.59.169:4000/rtp/239.76.245.234:1234$1080p
张家界新闻综合,http://113.221.59.169:4000/rtp/239.76.252.234:9000$1080p
永州新闻综合,http://113.221.59.169:4000/rtp/239.76.248.23:1234
湘西新闻综合,http://113.221.59.169:4000/rtp/239.76.245.208:1234$1080p
湘西新闻综合,http://113.221.59.169:4000/rtp/239.76.252.208:9000$1080p
湘西文化旅游,http://113.221.59.169:4000/rtp/239.76.245.209:1234$1080p
湘西文化旅游,http://113.221.59.169:4000/rtp/239.76.252.209:9000
芷江电视台,http://113.221.59.169:4000/rtp/239.76.246.64:1234$1080p
芷江电视台,http://113.221.59.169:4000/rtp/239.76.253.67:9000$1080p
衡阳新闻综合,http://113.221.59.169:4000/rtp/239.76.248.13:1234
衡阳文旅法治,http://113.221.59.169:4000/rtp/239.76.248.14:1234
郴州综合,http://113.221.59.169:4000/rtp/239.76.246.75:1234$1080p
郴州综合,http://113.221.59.169:4000/rtp/239.76.253.75:9000$1080p
长沙新闻综合,http://113.221.59.169:4000/rtp/239.76.246.121:1234$1080p
长沙新闻综合,http://113.221.59.169:4000/rtp/239.76.252.22:9000$576p
长沙新闻综合,http://113.221.59.169:4000/rtp/239.76.253.121:9000$1080p
长沙政法,http://113.221.59.169:4000/rtp/239.76.246.122:1234$1080p
长沙政法,http://113.221.59.169:4000/rtp/239.76.252.21:9000$576p
长沙政法,http://113.221.59.169:4000/rtp/239.76.253.122:9000$1080p
桂东融媒,http://113.221.59.169:4000/rtp/239.76.246.231:1234$1080p
桂东融媒,http://113.221.59.169:4000/rtp/239.76.253.231:9000$1080p
东安综合,http://113.221.59.169:4000/rtp/239.76.253.71:9000$1080p
凤凰中文,http://113.221.59.169:4000/rtp/239.76.246.134:1234$1080p
凤凰中文,http://113.221.59.169:4000/rtp/239.76.253.135:9000$1080p
凤凰资讯,http://113.221.59.169:4000/rtp/239.76.246.135:1234$1080p
凤凰资讯,http://113.221.59.169:4000/rtp/239.76.253.134:9000$1080p
东方财经,http://113.221.59.169:4000/rtp/239.76.254.69:9000
中国天气,http://113.221.59.169:4000/rtp/239.76.246.61:1234$1080p
中国天气,http://113.221.59.169:4000/rtp/239.76.253.61:9000$1080p
乐游,http://113.221.59.169:4000/rtp/239.76.254.68:9000
书画,http://113.221.59.169:4000/rtp/239.76.245.171:1234$576p
书画,http://113.221.59.169:4000/rtp/239.76.246.77:1234$576p
书画,http://113.221.59.169:4000/rtp/239.76.253.77:9000$576p
优优宝贝,http://113.221.59.169:4000/rtp/239.76.246.13:1234$576p
优优宝贝,http://113.221.59.169:4000/rtp/239.76.253.13:9000$576p
优漫卡通,http://113.221.59.169:4000/rtp/239.76.245.112:1234$576p
优漫卡通,http://113.221.59.169:4000/rtp/239.76.252.112:9000$576p
优购物,http://113.221.59.169:4000/rtp/239.76.254.63:9000
动漫秀场,http://113.221.59.169:4000/rtp/239.76.254.70:9000
嘉佳卡通,http://113.221.59.169:4000/rtp/239.76.245.230:1234$576p
嘉佳卡通,http://113.221.59.169:4000/rtp/239.76.252.230:9000$576p
四海钓鱼,http://113.221.59.169:4000/rtp/239.76.246.4:1234$1080p
四海钓鱼,http://113.221.59.169:4000/rtp/239.76.253.4:9000$1080p
国学频道,http://113.221.59.169:4000/rtp/239.76.254.48:9000
天翼高清在线课,http://113.221.59.169:4000/rtp/239.76.245.151:1234$1080p
天元围棋,http://113.221.59.169:4000/rtp/239.76.246.2:1234$1080p
天元围棋,http://113.221.59.169:4000/rtp/239.76.253.2:9000$1080p
山东教育,http://113.221.59.169:4000/rtp/239.76.245.191:1234$576p
山东教育,http://113.221.59.169:4000/rtp/239.76.252.191:9000$576p
快乐垂钓,http://113.221.59.169:4000/rtp/239.76.245.127:1234$1080p
快乐垂钓,http://113.221.59.169:4000/rtp/239.76.246.5:1234$1080p
快乐垂钓,http://113.221.59.169:4000/rtp/239.76.252.127:9000$1080p
快乐垂钓,http://113.221.59.169:4000/rtp/239.76.253.5:9000$1080p
快乐购,http://113.221.59.169:4000/rtp/239.76.245.125:1234$1080p
快乐购,http://113.221.59.169:4000/rtp/239.76.246.112:1234$1080p
快乐购,http://113.221.59.169:4000/rtp/239.76.252.125:9000$1080p
快乐购,http://113.221.59.169:4000/rtp/239.76.252.12:9000$576p
快乐购,http://113.221.59.169:4000/rtp/239.76.253.112:9000$1080p
文物宝库,http://113.221.59.169:4000/rtp/239.76.252.180:9000$1080p
文物宝库,http://113.221.59.169:4000/rtp/239.76.245.180:1234$1080p
新动漫,http://113.221.59.169:4000/rtp/239.76.245.244:1234$576p
新动漫,http://113.221.59.169:4000/rtp/239.76.252.244:9000$576p
