河北电信-组播1,#genre#
CCTV央视文化精品,http://106.8.17.2:14258/rtp/239.254.200.111:6251
CCTV央视文化精品,http://106.8.17.2:14258/rtp/239.254.201.229:7260
CCTV女性时尚,http://106.8.17.2:14258/rtp/239.254.200.110:6241
CCTV女性时尚,http://106.8.17.2:14258/rtp/239.254.201.228:7255
CCTV怀旧剧场,http://106.8.17.2:14258/rtp/239.254.200.95:6229
CCTV怀旧剧场,http://106.8.17.2:14258/rtp/239.254.201.220:7256
CCTV电视指南,http://106.8.17.2:14258/rtp/239.254.200.142:6256
CCTV电视指南,http://106.8.17.2:14258/rtp/239.254.201.217:7250
CCTV第一剧场,http://106.8.17.2:14258/rtp/239.254.200.93:6227
CCTV第一剧场,http://106.8.17.2:14258/rtp/239.254.201.218:7258
CCTV风云剧场,http://106.8.17.2:14258/rtp/239.254.200.94:6228
CCTV风云剧场,http://106.8.17.2:14258/rtp/239.254.201.219:7257
CCTV风云足球,http://106.8.17.2:14258/rtp/239.254.200.97:6231
CCTV风云足球,http://106.8.17.2:14258/rtp/239.254.201.222:7251
CCTV风云音乐,http://106.8.17.2:14258/rtp/239.254.200.96:6230
CCTV风云音乐,http://106.8.17.2:14258/rtp/239.254.201.221:7259
CCTV高尔夫网球,http://106.8.17.2:14258/rtp/239.254.200.98:6232
CCTV高尔夫网球,http://106.8.17.2:14258/rtp/239.254.201.223:7252
CETV1,http://106.8.17.2:14258/rtp/239.254.200.225:6259
CETV2,http://106.8.17.2:14258/rtp/239.254.200.226:6260
CETV4,http://106.8.17.2:14258/rtp/239.254.200.227:6261
CETV早期教育,http://106.8.17.2:14258/rtp/239.254.200.114:6244
CETV早期教育,http://106.8.17.2:14258/rtp/239.254.201.230:7253
CGTN,http://106.8.17.2:14258/rtp/239.254.200.12:8056
CGTN俄语,http://106.8.17.2:14258/rtp/239.254.201.212:4220
CGTN法语,http://106.8.17.2:14258/rtp/239.254.201.210:4220
CGTN纪录,http://106.8.17.2:14258/rtp/239.254.201.208:4220
CGTN西语,http://106.8.17.2:14258/rtp/239.254.201.209:4220
CGTN阿语,http://106.8.17.2:14258/rtp/239.254.201.211:4220
中央新影-中学生,http://106.8.17.2:14258/rtp/239.254.200.113:6243
中央新影-老故事,http://106.8.17.2:14258/rtp/239.254.200.104:6237
凤凰中文,http://106.8.17.2:14258/rtp/239.254.201.2:5226
凤凰电影,http://106.8.17.2:14258/rtp/239.254.201.1:5214
凤凰资讯,http://106.8.17.2:14258/rtp/239.254.201.3:5227
北京卫视4K,http://106.8.17.2:14258/rtp/239.254.200.187:6000
湖南卫视4K,http://106.8.17.2:14258/rtp/239.254.201.68:6000
东南卫视,http://106.8.17.2:14258/rtp/239.254.201.13:6291
东方卫视,http://106.8.17.2:14258/rtp/239.254.200.52:8032
云南卫视,http://106.8.17.2:14258/rtp/239.254.200.68:8108
内蒙古卫视,http://106.8.17.2:14258/rtp/239.254.200.84:8176
北京卫视,http://106.8.17.2:14258/rtp/239.254.200.47:8024
吉林卫视,http://106.8.17.2:14258/rtp/239.254.201.15:6339
四川卫视,http://106.8.17.2:14258/rtp/239.254.200.202:6325
天津卫视,http://106.8.17.2:14258/rtp/239.254.200.54:1234
宁夏卫视,http://106.8.17.2:14258/rtp/239.254.200.87:8124
安徽卫视,http://106.8.17.2:14258/rtp/239.254.200.163:6000
山东卫视,http://106.8.17.2:14258/rtp/239.254.200.55:8052
山东教育,http://106.8.17.2:14258/rtp/239.254.200.247:4120
山西卫视,http://106.8.17.2:14258/rtp/239.254.200.83:8172
广东卫视,http://106.8.17.2:14258/rtp/239.254.200.56:8048
广西卫视,http://106.8.17.2:14258/rtp/239.254.200.80:8300
新疆卫视,http://106.8.17.2:14258/rtp/239.254.200.89:8160
江苏卫视,http://106.8.17.2:14258/rtp/239.254.200.51:8028
江西卫视,http://106.8.17.2:14258/rtp/239.254.201.12:6290
河南卫视,http://106.8.17.2:14258/rtp/239.254.201.16:7174
浙江卫视,http://106.8.17.2:14258/rtp/239.254.200.53:8036
海南卫视,http://106.8.17.2:14258/rtp/239.254.201.125:6288
深圳卫视,http://106.8.17.2:14258/rtp/239.254.200.50:8020
湖北卫视,http://106.8.17.2:14258/rtp/239.254.200.164:6000
湖南卫视,http://106.8.17.2:14258/rtp/239.254.200.48:8012
甘肃卫视,http://106.8.17.2:14258/rtp/239.254.200.90:8188
西藏卫视,http://106.8.17.2:14258/rtp/239.254.200.88:8164
贵州卫视,http://106.8.17.2:14258/rtp/239.254.201.20:6315
辽宁卫视,http://106.8.17.2:14258/rtp/239.254.200.57:8056
重庆卫视,http://106.8.17.2:14258/rtp/239.254.200.203:6323
陕西卫视,http://106.8.17.2:14258/rtp/239.254.200.82:8140
青海卫视,http://106.8.17.2:14258/rtp/239.254.200.85:8184
黑龙江卫视,http://106.8.17.2:14258/rtp/239.254.200.49:8016
河北卫视,http://106.8.17.2:14258/rtp/239.254.200.174:6000
河北三农,http://106.8.17.2:14258/rtp/239.254.200.23:6000
河北少儿科教,http://106.8.17.2:14258/rtp/239.254.200.21:6000
河北文旅体育 ,http://106.8.17.2:14258/rtp/239.254.200.20:6000
河北经济生活,http://106.8.17.2:14258/rtp/239.254.200.18:6000
河北都市,http://106.8.17.2:14258/rtp/239.254.200.19:6000
九屏直播,http://106.8.17.2:14258/rtp/239.254.200.248:6000
